epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.6802,0.48298,0.89212,1,0.35931,0.000551425,0.000551425,0.000551425
2,18.3313,0.41127,0.47437,1,3.15084,0.00107969,0.00107969,0.00107969
3,25.8228,0.39296,0.34583,1,2.52462,0.00158045,0.00158045,0.00158045
4,33.1809,0.39539,0.23336,1,2.22021,0.00154323,0.00154323,0.00154323
5,40.614,0.37746,0.86381,1,0.33906,0.00150197,0.00150197,0.00150197
6,47.9472,0.34917,0.7544,1,0.72608,0.00146071,0.00146071,0.00146071
7,55.3142,0.32887,0.91125,1,0.29095,0.00141945,0.00141945,0.00141945
8,62.9221,0.3248,0.89518,1,0.27423,0.00137819,0.00137819,0.00137819
9,70.2725,0.31758,0.89059,1,0.28427,0.00133693,0.00133693,0.00133693
10,77.6372,0.29033,0.49656,1,1.36647,0.00129568,0.00129568,0.00129568
11,85.0319,0.28719,0.72073,1,0.74935,0.00125442,0.00125442,0.00125442
12,92.4357,0.28554,0.90742,1,0.23603,0.00121316,0.00121316,0.00121316
13,99.9833,0.29002,0.86611,1,0.34182,0.0011719,0.0011719,0.0011719
14,107.596,0.27702,0.92884,1,0.22205,0.00113064,0.00113064,0.00113064
15,115.465,0.26268,0.41622,1,1.39478,0.00108938,0.00108938,0.00108938
16,123.219,0.26668,0.88753,1,0.2648,0.00104813,0.00104813,0.00104813
17,131.029,0.2605,0.82326,1,0.37906,0.00100687,0.00100687,0.00100687
18,138.835,0.25062,0.90207,1,0.24924,0.00096561,0.00096561,0.00096561
19,146.429,0.23879,0.92043,1,0.19822,0.000924352,0.000924352,0.000924352
20,154.019,0.24016,0.90666,1,0.22452,0.000883093,0.000883093,0.000883093
21,161.745,0.22686,0.93879,1,0.19857,0.000841835,0.000841835,0.000841835
22,169.455,0.22014,0.89212,1,0.26277,0.000800577,0.000800577,0.000800577
23,177.292,0.21509,0.93956,1,0.16958,0.000759318,0.000759318,0.000759318
24,185.137,0.21107,0.92961,1,0.18079,0.00071806,0.00071806,0.00071806
25,192.873,0.20474,0.94797,1,0.13776,0.000676802,0.000676802,0.000676802
26,200.586,0.20129,0.88141,1,0.27483,0.000635544,0.000635544,0.000635544
27,208.382,0.1949,0.86305,1,0.30053,0.000594286,0.000594286,0.000594286
28,216.186,0.19223,0.92043,1,0.19122,0.000553027,0.000553027,0.000553027
29,223.924,0.19177,0.91201,1,0.22699,0.000511769,0.000511769,0.000511769
30,231.673,0.19061,0.91966,1,0.19945,0.000470511,0.000470511,0.000470511
31,261.039,0.18361,0.93191,1,0.17923,0.000429253,0.000429253,0.000429253
32,268.626,0.16977,0.91737,1,0.19519,0.000387994,0.000387994,0.000387994
33,276.495,0.17072,0.81714,1,0.38884,0.000346736,0.000346736,0.000346736
34,284.372,0.16864,0.91737,1,0.21091,0.000305478,0.000305478,0.000305478
35,292.303,0.16697,0.92655,1,0.17611,0.00026422,0.00026422,0.00026422
36,300.024,0.15761,0.94797,1,0.14257,0.000222961,0.000222961,0.000222961
37,307.854,0.16051,0.95562,1,0.12611,0.000181703,0.000181703,0.000181703
38,315.714,0.14803,0.93267,1,0.19235,0.000140445,0.000140445,0.000140445
39,323.387,0.14244,0.94874,1,0.14147,9.91865e-05,9.91865e-05,9.91865e-05
40,330.975,0.13941,0.94874,1,0.14828,5.79283e-05,5.79283e-05,5.79283e-05
