epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.8147,0.37652,0.83703,1,0.41286,0.000553282,0.000553282,0.000553282
2,30.4353,0.33653,0.78806,1,0.47255,0.0010815,0.0010815,0.0010815
3,43.9674,0.3276,0.82938,1,0.36402,0.00158222,0.00158222,0.00158222
4,57.3675,0.33526,0.40474,1,1.35043,0.00154323,0.00154323,0.00154323
5,70.7218,0.29349,0.91201,1,0.23272,0.00150197,0.00150197,0.00150197
6,83.8904,0.28163,0.92272,1,0.22654,0.00146071,0.00146071,0.00146071
7,96.9934,0.2702,0.91584,1,0.25676,0.00141945,0.00141945,0.00141945
8,109.964,0.26803,0.671,1,0.61932,0.00137819,0.00137819,0.00137819
9,123.646,0.2458,0.90819,1,0.2506,0.00133693,0.00133693,0.00133693
10,137.005,0.24446,0.88523,1,0.28262,0.00129568,0.00129568,0.00129568
11,150.419,0.24004,0.92961,1,0.25837,0.00125442,0.00125442,0.00125442
12,164.401,0.23388,0.87376,1,0.31337,0.00121316,0.00121316,0.00121316
13,178.015,0.2463,0.93114,1,0.2342,0.0011719,0.0011719,0.0011719
14,191.33,0.23341,0.90054,1,0.27385,0.00113064,0.00113064,0.00113064
15,204.722,0.22551,0.53481,1,0.8675,0.00108938,0.00108938,0.00108938
16,218.249,0.21367,0.89518,1,0.25749,0.00104813,0.00104813,0.00104813
17,231.702,0.20566,0.87452,1,0.3071,0.00100687,0.00100687,0.00100687
18,244.899,0.20912,0.85616,1,0.3322,0.00096561,0.00096561,0.00096561
19,258.1,0.19227,0.94109,1,0.16981,0.000924352,0.000924352,0.000924352
20,271.288,0.19604,0.94644,1,0.17959,0.000883093,0.000883093,0.000883093
21,284.391,0.19165,0.89594,1,0.25379,0.000841835,0.000841835,0.000841835
22,297.662,0.18946,0.73451,1,0.56666,0.000800577,0.000800577,0.000800577
23,311.103,0.18181,0.86228,1,0.33292,0.000759318,0.000759318,0.000759318
24,323.859,0.17177,0.92425,1,0.19551,0.00071806,0.00071806,0.00071806
25,336.268,0.16794,0.90513,1,0.22093,0.000676802,0.000676802,0.000676802
26,348.789,0.17585,0.92655,1,0.1831,0.000635544,0.000635544,0.000635544
27,361.109,0.15853,0.93573,1,0.1659,0.000594286,0.000594286,0.000594286
28,373.598,0.15202,0.91125,1,0.25743,0.000553027,0.000553027,0.000553027
29,386.154,0.16493,0.90054,1,0.23885,0.000511769,0.000511769,0.000511769
30,398.655,0.14904,0.95333,1,0.14446,0.000470511,0.000470511,0.000470511
31,432.424,0.16448,0.92961,1,0.18412,0.000429253,0.000429253,0.000429253
32,445.047,0.13879,0.94109,1,0.16134,0.000387994,0.000387994,0.000387994
33,457.533,0.13622,0.93879,1,0.16906,0.000346736,0.000346736,0.000346736
34,470.812,0.13607,0.93803,1,0.17363,0.000305478,0.000305478,0.000305478
35,484.306,0.12773,0.93344,1,0.19111,0.00026422,0.00026422,0.00026422
36,497.65,0.12482,0.94415,1,0.16028,0.000222961,0.000222961,0.000222961
37,510.983,0.12328,0.9365,1,0.17823,0.000181703,0.000181703,0.000181703
38,524.447,0.11682,0.93267,1,0.1839,0.000140445,0.000140445,0.000140445
39,537.788,0.11416,0.93573,1,0.16776,9.91865e-05,9.91865e-05,9.91865e-05
40,551.17,0.10944,0.93344,1,0.16643,5.79283e-05,5.79283e-05,5.79283e-05
